,Unnamed: 0,image_id,location,filename,datetime,frame_num,seq_id,category_id,category_name,datetime_obj,date,uid
3286,25486,8868d8c6-21bc-11ea-a13a-137349068a90,501,8868d8c6-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 12:25:15.000,95,2fffc298-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-20 12:25:15,2013-02-20,test3_10
9570,124645,94f0160e-21bc-11ea-a13a-137349068a90,501,94f0160e-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 09:49:52.000,14,3028724c-7d42-11eb-8fb5-0242ac1c0002,78,papio anubis,2013-02-20 09:49:52,2013-02-20,test3_11
13391,188647,93b46808-21bc-11ea-a13a-137349068a90,131,93b46808-21bc-11ea-a13a-137349068a90.jpg,2013-01-26 08:47:08.000,31,3001f4d2-7d42-11eb-8fb5-0242ac1c0002,258,acryllium vulturinum,2013-01-26 08:47:08,2013-01-26,test3_12
14009,198389,922dbd40-21bc-11ea-a13a-137349068a90,501,922dbd40-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 13:34:03.000,15,302b0322-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-02-20 13:34:03,2013-02-20,test3_13
7059,86377,8fd1520a-21bc-11ea-a13a-137349068a90,501,8fd1520a-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 14:50:25.000,74,3026b84e-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-02-19 14:50:25,2013-02-19,test3_14
7799,99418,8d23f062-21bc-11ea-a13a-137349068a90,501,8d23f062-21bc-11ea-a13a-137349068a90.jpg,2013-02-21 12:18:32.000,58,30232e04-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-21 12:18:32,2013-02-21,test3_15
6488,77540,86f9d864-21bc-11ea-a13a-137349068a90,499,86f9d864-21bc-11ea-a13a-137349068a90.jpg,2013-02-02 18:45:55.000,3,3022743c-7d42-11eb-8fb5-0242ac1c0002,90,loxodonta africana,2013-02-02 18:45:55,2013-02-02,test3_16
14175,201372,923651bc-21bc-11ea-a13a-137349068a90,501,923651bc-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 12:09:17.000,29,302ac4de-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-20 12:09:17,2013-02-20,test3_17
6167,72353,8e9ae450-21bc-11ea-a13a-137349068a90,501,8e9ae450-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 12:31:59.000,8,2ffe90a8-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-20 12:31:59,2013-02-20,test3_18
7485,94638,8aa79dac-21bc-11ea-a13a-137349068a90,501,8aa79dac-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 13:51:10.000,162,30265110-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-02-20 13:51:10,2013-02-20,test3_19
7431,92385,889dd0a8-21bc-11ea-a13a-137349068a90,53,889dd0a8-21bc-11ea-a13a-137349068a90.jpg,2015-02-04 06:42:53.000,3,994f7b22-21bc-11ea-a13a-137349068a90,96,aepyceros melampus,2015-02-04 06:42:53,2015-02-04,test3_20
7939,101890,94e89f6e-21bc-11ea-a13a-137349068a90,501,94e89f6e-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 14:16:01.000,82,302b3162-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-02-19 14:16:01,2013-02-19,test3_21
6938,84888,971396cc-21bc-11ea-a13a-137349068a90,501,971396cc-21bc-11ea-a13a-137349068a90.jpg,2013-02-21 12:28:53.000,78,3025314a-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-21 12:28:53,2013-02-21,test3_22
6065,70307,86d59cf6-21bc-11ea-a13a-137349068a90,501,86d59cf6-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 11:37:14.000,230,300153b0-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-19 11:37:14,2013-02-19,test3_23
7186,88716,868d1f1c-21bc-11ea-a13a-137349068a90,501,868d1f1c-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 10:37:57.000,330,30222a5e-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-20 10:37:57,2013-02-20,test3_24
2306,8984,976aab60-21bc-11ea-a13a-137349068a90,501,976aab60-21bc-11ea-a13a-137349068a90.jpg,2013-02-21 10:20:50.000,3,3025d172-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-21 10:20:50,2013-02-21,test3_25
137,13716,90577f6a-21bc-11ea-a13a-137349068a90,306,90577f6a-21bc-11ea-a13a-137349068a90.jpg,2015-02-08 10:05:55.000,16,302fff58-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2015-02-08 10:05:55,2015-02-08,test3_26
8200,105546,9421d712-21bc-11ea-a13a-137349068a90,501,9421d712-21bc-11ea-a13a-137349068a90.jpg,2013-02-21 12:27:36.000,15,30252e70-7d42-11eb-8fb5-0242ac1c0002,90,loxodonta africana,2013-02-21 12:27:36,2013-02-21,test3_27
2100,7095,8ee577ae-21bc-11ea-a13a-137349068a90,53,8ee577ae-21bc-11ea-a13a-137349068a90.jpg,2015-02-04 08:25:26.000,12,3022cf9a-7d42-11eb-8fb5-0242ac1c0002,90,loxodonta africana,2015-02-04 08:25:26,2015-02-04,test3_28
5936,67358,8c10b836-21bc-11ea-a13a-137349068a90,501,8c10b836-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 14:09:13.000,71,2ffe4a8a-7d42-11eb-8fb5-0242ac1c0002,90,loxodonta africana,2013-02-19 14:09:13,2013-02-19,test3_29
10312,136950,8b02c970-21bc-11ea-a13a-137349068a90,501,8b02c970-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 11:37:27.000,247,300154b4-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-19 11:37:27,2013-02-19,test3_30
1204,155945,8865fd86-21bc-11ea-a13a-137349068a90,477,8865fd86-21bc-11ea-a13a-137349068a90.jpg,2013-01-28 02:20:38.000,6,985d1238-21bc-11ea-a13a-137349068a90,115,madoqua guentheri,2013-01-28 02:20:38,2013-01-28,test3_31
7561,95353,8f86f34a-21bc-11ea-a13a-137349068a90,108,8f86f34a-21bc-11ea-a13a-137349068a90.jpg,2013-02-01 22:03:15.000,1,96c51eac-21bc-11ea-a13a-137349068a90,110,syncerus caffer,2013-02-01 22:03:15,2013-02-01,test3_32
1144,147593,892dc1a4-21bc-11ea-a13a-137349068a90,375,892dc1a4-21bc-11ea-a13a-137349068a90.jpg,2013-03-12 23:55:01.000,4,98890be0-21bc-11ea-a13a-137349068a90,112,giraffa camelopardalis,2013-03-12 23:55:01,2013-03-12,test3_33
885,112491,905237e4-21bc-11ea-a13a-137349068a90,306,905237e4-21bc-11ea-a13a-137349068a90.jpg,2015-02-23 07:53:06.000,8,2fffd21a-7d42-11eb-8fb5-0242ac1c0002,111,equus quagga,2015-02-23 07:53:06,2015-02-23,test3_34
3254,25227,88e20cc8-21bc-11ea-a13a-137349068a90,499,88e20cc8-21bc-11ea-a13a-137349068a90.jpg,2013-01-18 09:25:27.000,2,93f0f796-21bc-11ea-a13a-137349068a90,115,madoqua guentheri,2013-01-18 09:25:27,2013-01-18,test3_35
3066,22040,9630c8f6-21bc-11ea-a13a-137349068a90,302,9630c8f6-21bc-11ea-a13a-137349068a90.jpg,2013-01-20 14:53:30.000,2,9630cab8-21bc-11ea-a13a-137349068a90,96,aepyceros melampus,2013-01-20 14:53:30,2013-01-20,test3_36
1428,184923,986d9932-21bc-11ea-a13a-137349068a90,328,986d9932-21bc-11ea-a13a-137349068a90.jpg,2015-02-25 22:21:00.000,3,986d9ad6-21bc-11ea-a13a-137349068a90,115,madoqua guentheri,2015-02-25 22:21:00,2015-02-25,test3_37
10064,131508,966011c4-21bc-11ea-a13a-137349068a90,108,966011c4-21bc-11ea-a13a-137349068a90.jpg,2013-02-01 07:07:18.000,9,3026643e-7d42-11eb-8fb5-0242ac1c0002,259,equus grevyi,2013-02-01 07:07:18,2013-02-01,test3_38
11368,152479,957b3202-21bc-11ea-a13a-137349068a90,501,957b3202-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 11:39:32.000,326,30016594-7d42-11eb-8fb5-0242ac1c0002,90,loxodonta africana,2013-02-19 11:39:32,2013-02-19,test3_39
2984,20935,918d680e-21bc-11ea-a13a-137349068a90,501,918d680e-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 11:50:57.000,24,302e5e5a-7d42-11eb-8fb5-0242ac1c0002,90,loxodonta africana,2013-02-19 11:50:57,2013-02-19,test3_40
3371,26608,9282b7dc-21bc-11ea-a13a-137349068a90,501,9282b7dc-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 12:21:40.000,47,302a3622-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-19 12:21:40,2013-02-19,test3_41
2705,15138,9660dd0c-21bc-11ea-a13a-137349068a90,501,9660dd0c-21bc-11ea-a13a-137349068a90.jpg,2013-02-21 07:39:26.000,4,98abd8e6-21bc-11ea-a13a-137349068a90,258,acryllium vulturinum,2013-02-21 07:39:26,2013-02-21,test3_42
8911,116617,923fe39e-21bc-11ea-a13a-137349068a90,291,923fe39e-21bc-11ea-a13a-137349068a90.jpg,2015-02-10 07:53:52.000,19,3027066e-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2015-02-10 07:53:52,2015-02-10,test3_43
2703,15136,98abd76a-21bc-11ea-a13a-137349068a90,501,98abd76a-21bc-11ea-a13a-137349068a90.jpg,2013-02-21 07:39:24.000,2,98abd8e6-21bc-11ea-a13a-137349068a90,258,acryllium vulturinum,2013-02-21 07:39:24,2013-02-21,test3_44
9473,122913,914472d4-21bc-11ea-a13a-137349068a90,501,914472d4-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 22:11:14.000,7,951d3ee0-21bc-11ea-a13a-137349068a90,111,equus quagga,2013-02-20 22:11:14,2013-02-20,test3_45
3773,33867,875fbcec-21bc-11ea-a13a-137349068a90,501,875fbcec-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 18:43:55.000,146,302ba9ee-7d42-11eb-8fb5-0242ac1c0002,90,loxodonta africana,2013-02-20 18:43:55,2013-02-20,test3_46
10314,136952,98fe5cec-21bc-11ea-a13a-137349068a90,501,98fe5cec-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 11:37:28.000,250,300154b4-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-19 11:37:28,2013-02-19,test3_47
7512,94879,8b674abc-21bc-11ea-a13a-137349068a90,501,8b674abc-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 13:49:20.000,59,30264b34-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-02-20 13:49:20,2013-02-20,test3_48
6586,79373,8abd2aaa-21bc-11ea-a13a-137349068a90,291,8abd2aaa-21bc-11ea-a13a-137349068a90.jpg,2015-02-02 11:46:49.000,5,8f8dca76-21bc-11ea-a13a-137349068a90,111,equus quagga,2015-02-02 11:46:49,2015-02-02,test3_49
2808,17767,915430de-21bc-11ea-a13a-137349068a90,501,915430de-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 13:48:38.000,17,30264828-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-02-20 13:48:38,2013-02-20,test3_50
5118,55827,922a92fa-21bc-11ea-a13a-137349068a90,499,922a92fa-21bc-11ea-a13a-137349068a90.jpg,2013-01-18 12:50:02.000,19,3002d294-7d42-11eb-8fb5-0242ac1c0002,90,loxodonta africana,2013-01-18 12:50:02,2013-01-18,test3_51
11857,162216,94daa3c8-21bc-11ea-a13a-137349068a90,501,94daa3c8-21bc-11ea-a13a-137349068a90.jpg,2013-02-21 10:54:35.000,304,3023ee2a-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-21 10:54:35,2013-02-21,test3_52
9540,124235,92ce2032-21bc-11ea-a13a-137349068a90,291,92ce2032-21bc-11ea-a13a-137349068a90.jpg,2015-02-20 13:03:24.000,16,3028087a-7d42-11eb-8fb5-0242ac1c0002,70,capra aegagrus,2015-02-20 13:03:24,2015-02-20,test3_53
11846,162136,915764ac-21bc-11ea-a13a-137349068a90,302,915764ac-21bc-11ea-a13a-137349068a90.jpg,2013-01-31 08:03:21.000,3,302d385e-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-01-31 08:03:21,2013-01-31,test3_54
12589,173767,921ff0fc-21bc-11ea-a13a-137349068a90,501,921ff0fc-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 10:30:43.000,143,30221eec-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-20 10:30:43,2013-02-20,test3_55
8213,105715,97399228-21bc-11ea-a13a-137349068a90,501,97399228-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 10:39:01.000,348,30222ba8-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-20 10:39:01,2013-02-20,test3_56
4155,40835,96a71222-21bc-11ea-a13a-137349068a90,501,96a71222-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 18:15:17.000,4,3021647a-7d42-11eb-8fb5-0242ac1c0002,259,equus grevyi,2013-02-19 18:15:17,2013-02-19,test3_57
3743,33348,8e0a94ae-21bc-11ea-a13a-137349068a90,501,8e0a94ae-21bc-11ea-a13a-137349068a90.jpg,2013-02-21 12:55:24.000,9,302a0ee0-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-21 12:55:24,2013-02-21,test3_58
4254,42974,87f1bad4-21bc-11ea-a13a-137349068a90,501,87f1bad4-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 11:44:26.000,313,3027f4ac-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-20 11:44:26,2013-02-20,test3_59
6738,81488,8e0cad48-21bc-11ea-a13a-137349068a90,501,8e0cad48-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 11:28:53.000,230,302ad9ba-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-19 11:28:53,2013-02-19,test3_60
4809,51330,8e4cf1a0-21bc-11ea-a13a-137349068a90,501,8e4cf1a0-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 10:37:31.000,306,30222798-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-20 10:37:31,2013-02-20,test3_61
2406,10239,8cf445f6-21bc-11ea-a13a-137349068a90,501,8cf445f6-21bc-11ea-a13a-137349068a90.jpg,2013-02-21 09:49:06.000,485,3021b88a-7d42-11eb-8fb5-0242ac1c0002,103,phacochoerus africanus,2013-02-21 09:49:06,2013-02-21,test3_62
6569,78468,92b3ac3e-21bc-11ea-a13a-137349068a90,140,92b3ac3e-21bc-11ea-a13a-137349068a90.jpg,2015-02-05 06:43:35.000,1,9388f7ea-21bc-11ea-a13a-137349068a90,115,madoqua guentheri,2015-02-05 06:43:35,2015-02-05,test3_63
5723,64561,97f252c2-21bc-11ea-a13a-137349068a90,501,97f252c2-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 11:26:50.000,135,302ad500-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-19 11:26:50,2013-02-19,test3_64
8767,114006,990919b6-21bc-11ea-a13a-137349068a90,501,990919b6-21bc-11ea-a13a-137349068a90.jpg,2013-02-21 09:39:07.000,35,30218f68-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-21 09:39:07,2013-02-21,test3_65
6754,81902,869c4d48-21bc-11ea-a13a-137349068a90,501,869c4d48-21bc-11ea-a13a-137349068a90.jpg,2013-02-21 12:38:00.000,43,302efcca-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-21 12:38:00,2013-02-21,test3_66
9027,117634,8c36c300-21bc-11ea-a13a-137349068a90,501,8c36c300-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 14:06:04.000,55,302cbcda-7d42-11eb-8fb5-0242ac1c0002,90,loxodonta africana,2013-02-19 14:06:04,2013-02-19,test3_67
4337,44279,8f46f178-21bc-11ea-a13a-137349068a90,501,8f46f178-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 14:07:41.000,14,2ffe47ba-7d42-11eb-8fb5-0242ac1c0002,90,loxodonta africana,2013-02-19 14:07:41,2013-02-19,test3_68
14026,198477,9861c332-21bc-11ea-a13a-137349068a90,501,9861c332-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 13:52:23.000,216,302653a4-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-02-20 13:52:23,2013-02-20,test3_69
13806,196155,955f2422-21bc-11ea-a13a-137349068a90,131,955f2422-21bc-11ea-a13a-137349068a90.jpg,2013-02-07 07:15:10.000,43,3027b014-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-07 07:15:10,2013-02-07,test3_70
10725,143337,89d4b162-21bc-11ea-a13a-137349068a90,501,89d4b162-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 14:35:34.000,25,30294d52-7d42-11eb-8fb5-0242ac1c0002,90,loxodonta africana,2013-02-20 14:35:34,2013-02-20,test3_71
3261,25239,88bd202a-21bc-11ea-a13a-137349068a90,108,88bd202a-21bc-11ea-a13a-137349068a90.jpg,2013-01-19 10:24:44.000,3,96f0de7a-21bc-11ea-a13a-137349068a90,96,aepyceros melampus,2013-01-19 10:24:44,2013-01-19,test3_72
11052,148534,8da1bf4c-21bc-11ea-a13a-137349068a90,501,8da1bf4c-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 21:49:15.000,10,30017aac-7d42-11eb-8fb5-0242ac1c0002,110,syncerus caffer,2013-02-20 21:49:15,2013-02-20,test3_73
7183,88713,8dbf2c80-21bc-11ea-a13a-137349068a90,501,8dbf2c80-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 10:37:54.000,327,30222a5e-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-20 10:37:54,2013-02-20,test3_74
1431,184959,92dce8f6-21bc-11ea-a13a-137349068a90,278,92dce8f6-21bc-11ea-a13a-137349068a90.jpg,2015-02-09 18:16:21.000,3,979af4be-21bc-11ea-a13a-137349068a90,103,phacochoerus africanus,2015-02-09 18:16:21,2015-02-09,test3_75
4603,47833,915e8b7e-21bc-11ea-a13a-137349068a90,501,915e8b7e-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 11:37:34.000,62,3027e764-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-20 11:37:34,2013-02-20,test3_76
9941,129474,8d3967f8-21bc-11ea-a13a-137349068a90,499,8d3967f8-21bc-11ea-a13a-137349068a90.jpg,2013-02-04 12:52:08.000,4,932fc24c-21bc-11ea-a13a-137349068a90,115,madoqua guentheri,2013-02-04 12:52:08,2013-02-04,test3_77
804,100313,98c78014-21bc-11ea-a13a-137349068a90,328,98c78014-21bc-11ea-a13a-137349068a90.jpg,2015-02-18 18:12:21.000,3,98c78186-21bc-11ea-a13a-137349068a90,96,aepyceros melampus,2015-02-18 18:12:21,2015-02-18,test3_78
6653,79869,9258d6c4-21bc-11ea-a13a-137349068a90,329,9258d6c4-21bc-11ea-a13a-137349068a90.jpg,2015-02-18 09:51:55.000,13,3029dcea-7d42-11eb-8fb5-0242ac1c0002,115,madoqua guentheri,2015-02-18 09:51:55,2015-02-18,test3_79
434,51630,975c2676-21bc-11ea-a13a-137349068a90,328,975c2676-21bc-11ea-a13a-137349068a90.jpg,2015-02-23 11:25:42.000,24,3028fd48-7d42-11eb-8fb5-0242ac1c0002,90,loxodonta africana,2015-02-23 11:25:42,2015-02-23,test3_80
9460,122801,96d2f2a2-21bc-11ea-a13a-137349068a90,501,96d2f2a2-21bc-11ea-a13a-137349068a90.jpg,2013-02-21 09:46:08.000,371,3021acd2-7d42-11eb-8fb5-0242ac1c0002,103,phacochoerus africanus,2013-02-21 09:46:08,2013-02-21,test3_81
6838,83288,9848b32e-21bc-11ea-a13a-137349068a90,501,9848b32e-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 09:21:23.000,21,302f02c4-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-20 09:21:23,2013-02-20,test3_82
14004,198124,94931d3c-21bc-11ea-a13a-137349068a90,499,94931d3c-21bc-11ea-a13a-137349068a90.jpg,2013-02-06 11:29:01.000,3,94931eb8-21bc-11ea-a13a-137349068a90,71,bos taurus,2013-02-06 11:29:01,2013-02-06,test3_83
8144,104921,86f82c80-21bc-11ea-a13a-137349068a90,302,86f82c80-21bc-11ea-a13a-137349068a90.jpg,2013-01-24 00:31:04.000,1,8d71c9d6-21bc-11ea-a13a-137349068a90,115,madoqua guentheri,2013-01-24 00:31:04,2013-01-24,test3_84
2263,8836,908a1c04-21bc-11ea-a13a-137349068a90,501,908a1c04-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 10:46:21.000,3,30272a72-7d42-11eb-8fb5-0242ac1c0002,90,loxodonta africana,2013-02-20 10:46:21,2013-02-20,test3_85
4969,53422,8fdf87e4-21bc-11ea-a13a-137349068a90,501,8fdf87e4-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 10:25:54.000,63,30221a78-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-20 10:25:54,2013-02-20,test3_86
8259,106535,8ba3c47e-21bc-11ea-a13a-137349068a90,501,8ba3c47e-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 14:02:00.000,123,3025af80-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-02-20 14:02:00,2013-02-20,test3_87
10330,137539,8f9a7fa0-21bc-11ea-a13a-137349068a90,131,8f9a7fa0-21bc-11ea-a13a-137349068a90.jpg,2013-01-29 10:28:53.000,4,97d84170-21bc-11ea-a13a-137349068a90,115,madoqua guentheri,2013-01-29 10:28:53,2013-01-29,test3_88
9405,122437,8778f55e-21bc-11ea-a13a-137349068a90,501,8778f55e-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 10:33:34.000,227,30222324-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-20 10:33:34,2013-02-20,test3_89
2179,7955,8b5aa398-21bc-11ea-a13a-137349068a90,501,8b5aa398-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 13:56:57.000,6,3025a878-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-02-20 13:56:57,2013-02-20,test3_90
13492,190088,95eb4e52-21bc-11ea-a13a-137349068a90,131,95eb4e52-21bc-11ea-a13a-137349068a90.jpg,2013-01-16 17:44:25.000,13,3023cfc6-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-01-16 17:44:25,2013-01-16,test3_91
201,24094,8ce9da4e-21bc-11ea-a13a-137349068a90,249,8ce9da4e-21bc-11ea-a13a-137349068a90.jpg,2013-02-25 10:21:47.000,17,302cafa6-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-02-25 10:21:47,2013-02-25,test3_92
5950,67426,8e7c950e-21bc-11ea-a13a-137349068a90,501,8e7c950e-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 12:08:00.000,30,30249758-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-19 12:08:00,2013-02-19,test3_93
7855,100162,8f5c31be-21bc-11ea-a13a-137349068a90,499,8f5c31be-21bc-11ea-a13a-137349068a90.jpg,2013-01-19 08:52:31.000,56,30228bfc-7d42-11eb-8fb5-0242ac1c0002,258,acryllium vulturinum,2013-01-19 08:52:31,2013-01-19,test3_94
6091,70886,88f915c6-21bc-11ea-a13a-137349068a90,501,88f915c6-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 12:56:11.000,12,302d67ca-7d42-11eb-8fb5-0242ac1c0002,103,phacochoerus africanus,2013-02-20 12:56:11,2013-02-20,test3_95
4013,38278,8bf1ae28-21bc-11ea-a13a-137349068a90,131,8bf1ae28-21bc-11ea-a13a-137349068a90.jpg,2013-02-07 07:15:35.000,62,3027b136-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-07 07:15:35,2013-02-07,test3_96
829,107169,8a693e22-21bc-11ea-a13a-137349068a90,306,8a693e22-21bc-11ea-a13a-137349068a90.jpg,2015-02-02 15:02:47.000,1,982e7676-21bc-11ea-a13a-137349068a90,96,aepyceros melampus,2015-02-02 15:02:47,2015-02-02,test3_97
3357,26397,94a65f50-21bc-11ea-a13a-137349068a90,206,94a65f50-21bc-11ea-a13a-137349068a90.jpg,2015-02-03 08:05:57.000,2,94a66054-21bc-11ea-a13a-137349068a90,163,lycaon pictus,2015-02-03 08:05:57,2015-02-03,test3_98
